"O3.Mean","Date.Local"
0.019667,2013-05-02
0.028917,2013-05-03
0.032118,2013-05-04
0.033792,2013-05-05
0.019333,2013-05-06
0.019583,2013-05-07
0.018958,2013-05-08
0.0095,2013-05-09
0.027583,2013-05-10
0.024417,2013-05-11
0.036417,2013-05-12
0.031708,2013-05-13
0.030625,2013-05-14
0.032333,2013-05-15
0.027333,2013-05-16
0.027333,2013-05-17
0.025125,2013-05-18
0.028083,2013-05-19
0.014125,2013-05-20
0.012944,2013-05-21
0.019458,2013-05-22
0.018458,2013-05-23
0.012875,2013-05-24
0.027542,2013-05-25
0.030542,2013-05-26
0.035375,2013-05-27
0.0275,2013-05-28
0.024333,2013-05-29
0.0355,2013-05-30
0.03575,2013-05-31
0.027958,2013-06-01
0.022542,2013-06-02
0.024375,2013-06-03
0.038,2013-06-04
0.036792,2013-06-05
0.039417,2013-06-06
0.025792,2013-06-07
0.021417,2013-06-08
0.031833,2013-06-09
0.030792,2013-06-10
0.0325,2013-06-11
0.029875,2013-06-12
0.038292,2013-06-13
0.030125,2013-06-14
0.029708,2013-06-15
0.034042,2013-06-16
0.033625,2013-06-17
0.03025,2013-06-18
0.034458,2013-06-19
0.036917,2013-06-20
0.038667,2013-06-21
0.036792,2013-06-22
0.022958,2013-06-23
0.038167,2013-06-24
0.04275,2013-06-25
0.038167,2013-06-26
0.035917,2013-06-27
0.036917,2013-06-28
0.033292,2013-06-29
0.025083,2013-06-30
0.019833,2013-07-01
0.018917,2013-07-02
0.013208,2013-07-03
0.019625,2013-07-04
0.026,2013-07-05
0.036375,2013-07-06
0.039125,2013-07-07
0.040625,2013-07-08
0.046458,2013-07-09
0.0325,2013-07-10
0.038647,2013-07-11
0.029375,2013-07-12
0.018208,2013-07-13
0.0215,2013-07-14
0.024556,2013-07-15
0.033833,2013-07-16
0.047292,2013-07-17
0.045583,2013-07-18
0.055458,2013-07-19
0.04125,2013-07-20
0.042458,2013-07-21
0.033542,2013-07-22
0.036167,2013-07-23
0.027833,2013-07-24
0.018958,2013-07-25
0.038292,2013-07-26
0.044792,2013-07-27
0.035625,2013-07-28
0.040042,2013-07-29
0.030042,2013-07-30
0.03925,2013-07-31
0.039042,2013-08-01
0.040667,2013-08-02
0.031875,2013-08-03
0.0295,2013-08-04
0.028167,2013-08-05
0.04225,2013-08-06
0.042167,2013-08-07
0.029208,2013-08-08
0.03125,2013-08-09
0.034333,2013-08-10
0.0385,2013-08-11
0.031458,2013-08-12
0.034583,2013-08-13
0.024542,2013-08-14
0.026917,2013-08-15
0.033583,2013-08-16
0.044375,2013-08-17
0.039833,2013-08-18
0.03,2013-08-19
0.029833,2013-08-20
0.038125,2013-08-21
0.022458,2013-08-22
0.028125,2013-08-23
0.026625,2013-08-24
0.037667,2013-08-25
0.037292,2013-08-26
0.03225,2013-08-27
0.03,2013-08-28
0.037458,2013-08-29
0.037625,2013-08-30
0.029833,2013-08-31
0.028958,2013-09-01
0.028167,2013-09-02
0.023542,2013-09-03
0.030792,2013-09-04
0.029208,2013-09-05
0.027667,2013-09-06
0.038667,2013-09-07
0.03175,2013-09-08
0.025958,2013-09-09
0.027824,2013-09-10
0.035458,2013-09-11
0.032083,2013-09-12
0.018833,2013-09-13
0.016375,2013-09-14
0.027333,2013-09-15
0.024333,2013-09-16
0.021875,2013-09-17
0.025708,2013-09-18
0.027792,2013-09-19
0.037333,2013-09-20
0.03025,2013-09-21
0.0245,2013-09-22
0.019458,2013-09-23
0.019625,2013-09-24
0.015042,2013-09-25
0.015208,2013-09-26
0.018167,2013-09-27
0.021333,2013-09-28
0.022333,2013-09-29
0.024083,2013-09-30
0.022417,2013-10-01
0.026667,2013-10-02
0.027583,2013-10-03
0.028333,2013-10-04
0.038158,2013-10-05
0.04225,2013-10-06
0.024,2013-10-07
0.022125,2013-10-08
0.026667,2013-10-09
0.022167,2013-10-10
0.027917,2013-10-11
0.033875,2013-10-12
0.031708,2013-10-13
0.020792,2013-10-14
0.020958,2013-10-15
0.020792,2013-10-16
0.020882,2013-10-17
0.021708,2013-10-18
0.023958,2013-10-19
0.024667,2013-10-20
0.030167,2013-10-21
0.02175,2013-10-22
0.019292,2013-10-23
0.018333,2013-10-24
0.014375,2013-10-25
0.023917,2013-10-26
0.020625,2013-10-27
0.015417,2013-10-28
0.010583,2013-10-29
0.009611,2013-10-30
0.03025,2013-10-31
0.022667,2013-11-01
0.021708,2013-11-02
0.020458,2013-11-03
0.018708,2013-11-04
0.01725,2013-11-05
0.023042,2013-11-06
0.017875,2013-11-07
0.021944,2013-11-08
0.023375,2013-11-09
0.025667,2013-11-10
0.024083,2013-11-11
0.019708,2013-11-12
0.017778,2013-11-13
0.010917,2013-11-14
0.006125,2013-11-15
0.014792,2013-11-16
0.012708,2013-11-17
0.027208,2013-11-18
0.027792,2013-11-19
0.016917,2013-11-20
